id,name,plate_number,policy_id,policy_number,required_covered,issue_date,period_from,period_to,pms_date,odometer,type_battery,install_date_battery,type_tire,install_date_tire,pms_last_date,image_url,engine_number,chassis_number,file_number,period_duration,period_duration_to,operational,acquisition_date,acquisition_cost,year_model,last_digit
6,Toyota Altis,SJX840,1000860100,MV-PC-GSISHO-0233835,Comprehensive & TPL,2025-09-29,2025-11-01,2026-11-01,2026-02-19,,1SNF Battery Excel,2024-11-15,205/55 R16,2025-08-22,,,3ZRA362441,MR053REE304500837,139100000082066,2026-10-08,2026-10-14,true,,0,2010,10
7,Honda City,SJH180,1000860100,MV-PC-GSISHO-0233835,Comprehensive & TPL,2025-09-01,2025-11-01,2026-11-01,2026-03-18,,NS60 Excel Battery,2025-10-15,195X60R15,2023-07-17,,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/ylyi1b76rv_1774249592708.jpg,L15A71401949,PADGM26509VOO1888,136600000134465,2026-10-14,2026-10-20,true,2026-03-19,100,2025,10
8,Isuzu Sportivo,SLD629,1000855970,MV-PC-GSISHO-0232151,Comprehensive & TPL,2025-08-27,2025-10-01,2026-10-01,2025-04-02,,2SMF Battery Excel,2025-02-19,235/70R15,2023-07-17,,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/9cyacbzcxrr_1773888024660.png,4JA1M41040,PABTBR54FD2073585,132400000785187,2025-09-01,2025-09-07,true,,0,2013,9
9,Isuzu Crosswind,SKX918,1000852283,MV-PC-GSISHO-0230748,Comprehensive & TPL,2025-07-29,2025-09-01,2026-09-01,2025-08-18,,2SMF Excel Battery,2025-10-16,235/70R15,2023-07-17,,,4JA1M35519,PABTBR54FC2068134,1324-0000771360,2025-08-01,2025-08-07,true,,0,2012,8
10,Isuzu Sportivo,SLD628,1000852285,MV-PC-GSISHO-0230747,Comprehensive & TPL,2025-07-29,2025-09-01,2026-09-01,2025-07-15,,2SMF Battery Excel,2025-02-14,235/70R15,2023-07-17,,,4JA1M41179,PABTBR54FD2073661,132400000785200,2025-08-01,2025-08-07,true,,0,2013,8
11,Isuzu Sportivo,SLD627,1000801555,MV-PC-GSISHO-0212486,Comprehensive & TPL,2024-06-05,2024-08-01,2025-08-01,2025-03-12,,2SMF Battery Excel,2025-02-14,235/70R15,2023-07-17,,,4JA1M41036,PABTBR54FD2073587,312400000785197,2025-07-01,2025-07-07,true,,0,2013,7
12,Isuzu Crosswind,SKX917,1000847173,MV-PC-GSISHO-0228533,Comprehensive & TPL,2025-06-18,2025-08-01,2026-08-01,2024-06-06,,2SMF Excel Battery,2023-03-13,235/70R15,2023-07-04,,,4JA1M36301,PABTBR54FC2068841,132400000771599,2024-07-01,2024-07-07,true,,0,2012,7
13,Isuzu Sportivo,SLD626,1000842473,MV-PC-GSISHO-0227021,Comprehensive & TPL,2025-05-15,2025-07-01,2026-07-01,2025-06-17,,2SMF Battery Excel,2025-02-14,235/70R15,2023-07-19,,,4JA1M42547,PABTBR54FD2075070,132400000785192,2025-06-01,2025-06-07,true,,0,2013,6
16,Isuzu Crosswind,SKX915,1000837537,MV-PC-GSISHO-0225271,Comprehensive and TPL,2025-04-03,2025-06-01,2026-06-01,2025-06-17,,2SMF Battery Excel,2023-03-13,235X70R15,2020-09-15,,,4JA1M35522,PABTBR54FC2068137,132400000771358,2025-05-01,2025-05-07,true,,0,2012,5
17,Isuzu Sportivo,SLD625,1000837536,MV-PC-GSISHO-0225270,Comprehensive & TPL,2025-04-03,2025-06-01,2026-06-01,2026-02-24,,2SMF Excel Battery,2025-10-10,,,,https://yelvewyjonvcyucwjcti.supabase.co/storage/v1/object/public/NEAMotorpoolBucket/vehicle-images/8v2ssxd4wv3_1773888081697.png,4JA1M41351,PABTBR54FD2073840,132400000785191,2025-05-01,2025-05-07,true,,0,2013,5
